student_id,programming_score,mathematics_score,database_score,ai_score,ml_score,web_score,data_science_score,interest_ai,interest_web,interest_data,interest_programming,interest_cloud,interest_security,preferred_elective
S0019,83.2,64.9,73.7,67.6,53.6,47.1,81.3,5,4,5,3,3,3,Data Science
S0020,69.3,79.3,72.1,19.1,60.1,78.3,56.7,2,3,2,4,4,5,Cyber Security
S0021,67.2,75.1,65.2,35.5,63.9,53.3,58.1,4,2,4,4,4,4,Machine Learning
S0022,59.8,74.7,53.2,90.0,67.2,81.4,25.8,2,4,3,2,4,5,Web Development
S0023,88.3,76.1,66.9,68.0,32.9,59.0,57.1,2,4,3,1,2,3,Cyber Security
S0024,67.7,79.2,64.0,44.8,29.2,49.3,72.3,1,2,4,1,4,1,Data Science
S0025,63.6,38.4,45.0,56.6,42.3,58.6,33.3,3,3,3,1,3,1,Web Development
S0026,64.7,64.5,42.9,60.3,40.7,25.6,70.0,4,2,5,5,4,1,Data Science
S0027,78.0,37.3,73.5,74.7,47.1,63.2,61.8,2,1,1,4,4,1,Cloud Computing
S0028,75.5,70.5,26.0,32.8,72.7,62.4,47.1,3,1,4,3,3,3,Machine Learning
S0029,76.2,69.9,68.1,43.2,56.6,77.4,77.1,3,1,5,3,1,1,Data Science
S0030,76.5,85.7,57.8,65.5,63.9,36.7,16.0,2,3,5,2,2,1,Machine Learning
S0031,100.0,87.8,84.6,58.0,35.5,82.4,66.9,4,3,1,1,5,3,Cloud Computing
S0032,63.9,73.0,57.6,71.4,50.8,77.3,92.4,3,3,1,1,3,4,Data Science
S0033,62.3,62.5,74.9,35.4,71.7,83.8,88.8,1,5,4,4,4,4,Web Development
S0034,57.8,77.3,59.0,67.1,71.9,64.2,67.8,3,2,5,1,2,1,Data Science
S0035,79.2,62.1,66.7,81.8,45.5,80.2,54.0,2,2,5,1,4,5,Cyber Security
S0036,86.9,70.0,76.1,69.7,63.2,42.9,47.3,4,2,5,4,3,3,Machine Learning
S0037,68.3,84.8,58.1,62.8,100.0,75.7,53.9,2,2,1,3,2,2,Machine Learning
S0038,57.4,61.6,79.9,58.1,59.6,53.4,70.9,5,3,3,3,1,2,Data Science
S0039,57.6,82.1,50.1,43.3,46.1,40.2,43.9,4,2,4,2,2,5,Cyber Security
S0040,79.8,80.2,69.4,58.6,56.5,48.1,75.1,1,2,4,1,3,3,Data Science
S0041,81.1,55.7,78.8,85.2,61.8,65.1,100.0,3,4,4,3,2,2,Data Science
S0042,78.1,84.6,74.9,57.6,57.0,52.6,58.8,5,5,2,2,2,3,Machine Learning
S0043,60.0,80.5,93.7,42.2,59.4,70.6,33.1,2,2,3,3,2,1,Machine Learning
S0044,73.5,71.5,53.5,50.2,31.1,37.9,33.1,4,1,3,1,2,1,Machine Learning
S0045,71.8,58.6,44.3,64.0,40.7,33.1,75.5,4,2,5,2,4,2,Data Science
S0046,73.3,57.1,50.1,52.5,57.0,85.6,58.8,4,3,2,1,3,2,Web Development
S0047,83.1,61.9,74.9,69.7,56.7,78.6,77.5,1,5,2,3,3,2,Web Development
S0048,73.4,78.1,72.5,70.5,48.7,49.3,49.3,2,1,1,2,1,1,Machine Learning
S0049,80.2,55.7,66.5,77.8,56.5,65.0,76.6,2,1,1,2,3,4,Cyber Security
S0050,71.0,76.6,48.2,88.5,61.2,80.3,56.8,2,3,5,3,5,1,Cloud Computing
S0051,74.3,51.4,76.5,79.9,77.8,71.3,45.3,5,5,5,3,4,2,Web Development
S0052,79.5,66.9,46.6,41.3,58.0,67.2,52.0,1,3,2,2,3,5,Cyber Security
S0053,48.1,71.6,82.4,41.9,68.0,81.4,36.1,3,5,4,4,2,1,Web Development
S0054,65.2,100.0,100.0,58.5,49.2,54.0,99.8,5,4,3,2,2,2,Data Science
S0055,62.9,49.3,70.5,51.0,71.4,65.5,58.1,5,1,5,2,1,3,Machine Learning
S0056,60.4,92.1,73.7,37.2,67.5,64.7,72.9,4,3,2,3,1,2,Machine Learning
S0057,65.9,72.2,57.6,51.2,77.3,60.9,49.3,5,4,5,1,4,2,Machine Learning
S0058,92.4,76.2,37.8,50.5,74.3,59.2,39.0,3,3,2,3,5,1,Machine Learning
S0059,57.0,71.8,56.0,46.6,71.8,66.1,55.3,4,1,4,3,5,3,Cloud Computing
S0060,84.5,76.7,48.6,53.7,58.0,65.5,82.0,3,1,2,1,4,4,Cyber Security
S0061,44.8,67.7,43.3,83.6,64.9,49.3,49.6,1,4,4,3,5,3,Artificial Intelligence
S0062,65.0,91.8,90.8,64.0,81.3,77.0,42.6,1,3,2,1,3,5,Cyber Security
S0063,72.4,63.2,69.1,100.0,47.0,50.4,63.1,5,3,5,4,2,4,Artificial Intelligence
S0064,78.8,87.0,70.7,63.4,47.4,61.7,70.0,1,2,4,1,2,4,Cyber Security
S0065,80.7,60.3,60.4,54.2,63.6,60.6,92.9,2,2,2,1,2,3,Data Science
S0066,81.9,69.1,62.4,60.1,68.3,70.4,67.1,4,4,5,2,4,4,Web Development
S0067,64.8,53.9,79.5,65.1,43.5,33.2,72.9,3,1,4,4,1,3,Data Science
S0068,63.1,76.8,64.5,68.7,58.5,78.4,74.4,3,3,3,4,5,5,Cloud Computing
S0069,82.9,91.7,73.0,100.0,58.1,54.8,36.9,5,2,1,3,4,3,Artificial Intelligence
S0070,67.1,68.8,62.1,43.1,15.7,83.3,40.7,4,4,5,1,2,3,Web Development
S0071,50.9,67.0,59.9,77.2,55.6,57.8,38.3,5,4,4,2,4,1,Artificial Intelligence
S0072,53.0,53.3,43.9,64.2,56.9,64.3,33.4,4,3,4,4,1,5,Cyber Security
S0073,56.2,66.6,35.3,28.6,56.8,93.7,75.9,5,2,5,1,3,3,Data Science
S0074,77.5,46.1,61.1,75.4,88.3,60.8,65.8,4,2,4,4,1,4,Machine Learning
S0075,72.1,56.3,65.8,85.4,35.7,83.6,61.6,3,2,2,2,1,4,Cyber Security
S0076,80.4,73.4,45.7,42.9,43.5,65.6,8.1,5,2,2,1,1,1,Machine Learning
S0077,63.6,89.8,64.5,59.8,7.8,71.2,100.0,5,4,1,4,4,4,Data Science
S0078,72.4,100.0,65.8,25.5,50.4,66.0,42.1,1,1,1,1,4,3,Cloud Computing
S0079,79.4,61.2,32.7,34.8,52.1,77.7,100.0,5,1,4,2,5,2,Cloud Computing
S0080,65.4,91.5,51.3,81.0,49.8,54.7,31.0,4,3,5,1,5,2,Artificial Intelligence
S0081,76.9,73.7,71.1,50.7,82.2,50.2,43.8,5,2,1,3,5,4,Machine Learning
S0082,60.1,67.7,70.8,37.8,77.2,55.4,15.9,4,5,3,1,5,1,Cloud Computing
S0083,64.6,76.5,47.7,64.6,61.6,66.5,67.2,5,4,1,1,1,4,Artificial Intelligence
S0084,64.3,70.9,67.4,49.6,52.6,61.7,38.0,2,4,3,3,4,5,Cyber Security
S0085,52.1,71.7,80.3,50.6,80.5,75.7,38.5,1,3,4,5,4,1,Web Development
S0086,77.3,63.9,76.7,74.8,59.6,84.6,32.5,1,3,5,1,1,1,Web Development
S0087,63.0,49.0,63.6,36.8,43.6,50.4,75.5,2,3,5,3,1,1,Data Science
S0088,70.2,46.8,58.0,41.9,25.7,54.0,74.2,2,1,2,5,5,4,Cloud Computing
S0089,77.2,79.8,55.6,63.1,51.2,43.5,96.2,3,3,5,2,5,5,Data Science
S0090,76.7,65.8,72.0,79.4,75.1,95.5,46.3,1,5,4,3,2,5,Web Development
S0091,80.0,61.1,67.9,84.8,100.0,69.6,64.4,1,2,2,5,1,1,Machine Learning
S0092,68.5,70.1,74.4,46.7,61.2,72.2,34.2,3,1,2,4,2,3,Machine Learning
S0093,63.7,81.9,67.0,78.7,44.7,44.9,53.3,4,3,1,2,1,1,Artificial Intelligence
S0094,68.8,72.7,77.3,44.3,36.3,65.0,49.6,1,2,5,4,4,2,Cloud Computing
S0095,44.7,60.2,66.4,96.5,71.0,72.6,69.3,3,4,2,4,2,2,Artificial Intelligence
S0096,48.3,88.4,76.8,37.3,24.7,61.2,80.3,4,5,2,3,1,4,Data Science
S0097,50.2,93.7,78.1,86.6,71.0,81.1,79.8,4,5,3,3,5,5,Artificial Intelligence
S0098,55.0,77.4,52.9,46.9,76.4,99.7,43.1,1,2,1,5,5,5,Web Development
S0099,76.0,84.6,37.9,100.0,68.7,50.8,80.0,4,5,5,5,5,1,Artificial Intelligence
S0100,56.4,88.6,88.2,71.8,55.6,49.7,59.1,1,1,4,5,5,2,Data Science
S0101,64.3,87.0,68.8,39.7,71.3,51.8,53.5,2,2,1,4,1,2,Machine Learning
S0102,89.5,79.2,39.3,49.6,63.4,89.1,45.8,2,2,1,2,4,2,Web Development
S0103,64.7,79.0,54.3,75.6,44.4,80.6,48.8,5,5,1,1,4,2,Web Development
S0104,81.1,77.8,76.6,81.1,97.0,63.0,94.8,1,4,5,1,4,4,Data Science
S0105,56.0,53.5,60.8,58.6,53.0,65.5,66.1,4,2,3,5,2,4,Machine Learning
S0106,66.9,80.5,57.3,60.9,75.5,52.8,63.5,5,1,4,2,2,5,Machine Learning
S0107,55.7,49.7,86.0,75.2,11.6,78.4,54.8,5,4,1,1,5,4,Cloud Computing
S0108,64.9,58.1,49.3,62.6,85.5,59.3,100.0,2,4,2,2,1,2,Machine Learning
S0109,82.6,89.6,53.0,34.1,89.4,61.1,86.1,1,5,3,1,4,1,Machine Learning
S0110,44.1,82.6,68.2,43.7,60.6,74.1,45.6,2,3,2,3,4,2,Web Development
S0111,76.5,92.3,70.9,64.7,71.2,62.2,54.5,4,1,4,3,4,4,Machine Learning
S0112,73.6,65.9,72.4,84.3,71.2,61.5,55.7,1,2,5,2,3,5,Cyber Security
S0113,61.1,52.7,78.7,92.3,47.1,65.2,62.9,4,4,2,4,4,2,Web Development
S0114,48.3,66.4,68.0,75.6,70.9,76.9,46.0,2,2,4,3,5,1,Cloud Computing
S0115,71.1,71.5,72.3,65.7,43.8,89.7,68.8,4,1,5,5,4,1,Cloud Computing
S0116,62.1,71.2,61.1,75.0,47.8,73.8,89.0,4,5,5,4,1,1,Web Development
S0117,73.5,87.0,65.9,46.7,82.5,77.0,33.7,3,3,1,1,2,4,Machine Learning
S0118,70.3,64.6,66.6,56.9,79.5,62.0,37.4,4,2,1,2,2,3,Machine Learning
S0119,94.0,75.3,68.2,43.5,45.9,54.4,50.3,5,3,5,4,2,4,Cyber Security
S0120,66.4,55.2,76.6,35.0,45.3,74.8,51.3,2,4,5,3,2,1,Web Development
S0121,54.6,76.8,73.3,66.7,47.1,67.6,100.0,3,1,2,4,2,3,Data Science
S0122,72.7,70.0,65.7,63.7,74.7,43.7,80.0,4,3,3,2,4,1,Machine Learning
S0123,73.3,58.8,52.9,73.8,40.0,60.1,78.9,5,2,3,1,1,2,Artificial Intelligence
S0124,90.4,66.5,66.0,70.9,67.1,63.8,54.7,3,1,4,4,4,4,Cyber Security
S0125,82.5,67.2,64.6,64.9,74.9,57.3,54.3,2,1,4,4,4,2,Machine Learning
S0126,75.4,65.9,67.9,71.1,58.2,87.2,31.0,5,3,2,4,5,4,Cloud Computing
S0127,91.9,96.6,98.1,59.1,80.2,72.2,75.6,5,3,5,3,1,2,Machine Learning
S0128,52.2,68.5,57.1,68.3,53.9,85.6,69.8,3,3,1,1,2,3,Web Development
S0129,60.4,66.3,71.3,45.5,55.7,69.0,85.7,1,4,1,4,5,3,Cloud Computing
S0130,56.1,38.5,81.0,67.4,40.5,66.2,55.8,2,3,5,4,3,2,Web Development
S0131,64.2,56.6,66.5,73.4,80.3,51.0,57.2,3,3,1,4,3,1,Machine Learning
S0132,49.3,66.1,100.0,46.6,44.7,65.2,63.4,4,5,5,1,1,3,Data Science
S0133,79.5,59.7,59.3,61.0,67.0,65.2,77.8,4,4,2,4,4,5,Cyber Security
S0134,66.7,90.7,69.9,47.5,58.6,44.5,30.6,5,5,2,4,2,4,Machine Learning
S0135,47.9,67.5,53.0,49.5,38.9,56.9,74.7,1,2,1,5,5,4,Cloud Computing
S0136,54.8,89.3,59.7,37.5,47.8,60.2,59.6,3,4,5,3,2,5,Data Science
S0137,74.7,70.9,68.7,85.3,87.7,71.2,38.8,4,4,2,4,1,1,Machine Learning
S0138,82.6,70.6,77.7,81.3,64.0,71.9,18.3,5,3,1,3,3,4,Cyber Security
S0139,100.0,68.7,69.8,70.7,39.8,56.3,57.3,1,1,3,4,3,2,Cloud Computing
S0140,100.0,70.1,83.9,99.4,66.1,72.0,89.0,5,3,1,4,3,4,Cyber Security
S0141,76.2,95.8,63.6,56.2,57.1,62.3,93.5,1,5,4,4,5,5,Data Science
S0142,55.2,35.2,60.0,100.0,100.0,22.0,67.1,1,4,1,5,2,5,Artificial Intelligence
S0143,38.0,40.0,100.0,55.4,65.7,57.7,99.2,5,1,3,1,2,3,Data Science
S0144,74.0,61.9,70.9,65.1,52.4,81.2,59.1,4,2,2,4,4,5,Cyber Security
S0145,57.8,70.2,54.2,52.0,88.4,39.8,79.1,5,3,1,4,1,4,Machine Learning
S0146,63.8,80.4,54.6,67.4,23.2,66.7,51.0,4,5,1,3,5,1,Web Development
S0147,60.8,77.1,50.9,76.7,61.9,88.8,49.7,4,3,3,3,2,2,Web Development
S0148,67.9,64.2,79.0,57.7,99.9,53.6,46.4,3,5,2,4,2,5,Machine Learning
S0149,86.0,85.3,59.5,95.5,57.7,65.0,18.8,3,4,1,3,1,5,Cyber Security
S0150,72.4,85.5,66.9,64.8,25.3,45.4,85.7,3,2,1,3,2,5,Cyber Security
S0151,67.6,72.8,64.0,65.4,52.1,89.4,47.2,2,1,5,5,3,2,Web Development
S0152,54.5,84.4,76.0,41.8,89.1,63.8,44.0,5,5,4,4,4,2,Machine Learning
S0153,44.9,74.1,52.3,68.4,67.5,65.7,36.4,2,3,4,2,5,5,Cyber Security
S0154,62.7,61.6,48.9,57.3,43.2,85.3,55.9,4,5,5,5,4,1,Web Development
S0155,69.2,80.5,68.4,47.8,46.3,74.9,95.3,4,5,1,2,2,5,Cyber Security
S0156,96.5,71.7,74.0,44.5,48.8,51.9,100.0,3,3,4,1,5,4,Cloud Computing
S0157,72.0,70.0,70.0,100.0,67.2,55.3,26.8,4,1,4,5,1,4,Artificial Intelligence
S0158,84.7,92.1,52.9,54.7,86.8,72.4,52.9,1,5,2,2,2,3,Web Development
S0159,62.5,33.2,75.2,30.9,81.0,55.6,39.3,2,3,3,2,2,5,Cyber Security
S0160,52.2,48.7,53.8,46.0,69.1,33.2,79.8,3,1,4,2,3,4,Data Science
S0161,55.5,52.2,57.2,59.0,33.4,64.2,65.7,2,3,4,3,2,1,Web Development
S0162,59.1,64.6,50.8,70.9,33.4,42.8,47.3,5,1,2,1,5,3,Cloud Computing
S0163,100.0,66.2,84.5,71.1,70.7,89.2,61.5,5,2,4,1,2,5,Cyber Security
S0164,57.7,47.4,74.5,73.5,33.1,67.7,50.5,4,2,4,2,2,1,Web Development
S0165,82.6,55.2,74.1,47.1,55.5,51.4,92.3,2,3,1,2,4,4,Cyber Security
S0166,56.5,57.1,83.7,66.8,66.1,54.5,70.9,1,3,3,1,3,2,Data Science
S0167,84.0,100.0,100.0,42.5,37.2,36.7,73.4,4,5,3,5,3,3,Data Science
S0168,75.8,97.0,39.4,47.6,39.5,48.5,6.7,5,2,2,3,5,5,Cyber Security
S0169,67.7,63.8,53.9,41.6,58.1,80.2,58.7,3,4,1,1,3,3,Web Development
S0170,69.4,64.5,55.8,36.2,70.1,98.5,100.0,5,5,1,1,1,1,Web Development
S0171,60.2,52.8,52.2,81.3,81.2,75.9,86.5,5,4,4,5,4,1,Artificial Intelligence
S0172,76.7,41.4,48.8,73.8,72.1,63.6,23.1,3,2,5,2,4,4,Cloud Computing
S0173,63.2,68.2,60.5,79.5,61.5,58.5,53.7,2,4,3,1,2,5,Cyber Security
S0174,51.6,55.0,46.8,60.8,45.1,50.7,36.0,1,2,5,4,5,2,Cloud Computing
S0175,50.8,68.7,70.0,75.5,38.6,95.9,94.2,4,3,5,5,2,5,Data Science
S0176,72.6,46.0,65.8,24.8,49.8,62.2,64.9,3,4,4,2,1,3,Web Development
S0177,93.7,58.6,72.2,77.3,68.2,96.7,44.6,1,2,3,4,1,1,Web Development
S0178,72.4,72.2,72.6,63.5,66.7,85.9,60.7,1,1,5,3,4,3,Cloud Computing
S0179,68.2,75.5,74.0,72.5,18.0,38.9,7.9,5,5,4,1,2,5,Cyber Security
S0180,74.3,76.3,59.4,67.6,44.3,55.0,38.3,2,4,5,4,3,2,Web Development
S0181,89.6,50.2,96.8,40.3,84.1,55.0,60.7,2,1,5,5,4,5,Cyber Security
S0182,73.3,82.8,68.5,30.0,61.6,63.8,76.9,4,2,1,5,5,4,Cloud Computing
S0183,63.8,58.0,37.1,45.8,31.7,64.1,21.2,2,2,4,1,3,2,Web Development
S0184,86.6,79.5,50.0,71.3,100.0,100.0,52.4,5,5,4,3,5,4,Web Development
S0185,76.4,69.8,38.9,73.8,59.4,48.8,80.2,4,5,5,4,2,3,Web Development
S0186,93.0,49.4,65.3,32.6,67.7,68.4,31.0,2,4,2,1,5,1,Cloud Computing
S0187,72.7,65.3,63.2,40.4,68.0,74.2,64.6,2,3,5,5,2,5,Cyber Security
S0188,51.6,75.5,58.0,45.5,52.6,65.0,61.3,5,1,3,1,1,2,Data Science
S0189,49.5,79.2,95.2,52.9,45.4,66.7,94.3,3,2,2,2,4,3,Data Science
S0190,94.8,67.9,73.2,32.8,100.0,49.3,55.4,5,1,1,5,4,4,Machine Learning
S0191,95.9,93.0,75.9,31.6,80.1,66.6,56.6,2,4,2,3,5,1,Cloud Computing
S0192,67.3,85.1,51.0,43.6,76.4,72.7,77.1,1,1,5,4,5,4,Data Science
S0193,64.3,66.2,50.0,61.7,71.5,69.9,33.5,5,4,4,3,1,2,Machine Learning
S0194,91.9,81.3,65.6,36.4,39.9,73.6,55.6,2,5,4,4,4,3,Web Development
S0195,53.4,99.0,67.6,57.7,85.6,86.2,50.9,5,2,5,1,4,3,Artificial Intelligence
S0196,56.6,99.4,37.2,81.2,43.1,79.1,57.2,4,4,2,4,4,4,Web Development
S0197,79.6,51.6,62.3,34.0,65.7,66.1,77.0,2,5,4,1,1,1,Web Development
S0198,64.1,56.1,65.2,55.9,27.2,47.4,71.1,4,3,2,1,1,1,Data Science
S0199,69.9,92.3,61.8,80.5,19.2,56.0,45.0,1,3,5,3,4,3,Cloud Computing
S0200,67.5,54.1,52.8,51.6,66.4,61.7,62.7,2,2,3,3,5,1,Cloud Computing
S0201,75.1,50.2,56.9,48.5,43.8,68.8,89.8,2,3,5,1,1,2,Data Science
S0202,91.1,62.7,62.3,83.3,20.2,57.8,43.4,4,5,4,4,1,4,Web Development
S0203,71.4,76.3,66.4,53.9,70.8,51.0,62.9,3,4,4,2,3,5,Cyber Security
S0204,79.7,68.5,74.1,82.1,100.0,47.2,56.1,4,2,5,5,2,4,Machine Learning
S0205,39.2,60.2,81.2,68.6,87.8,40.2,58.7,3,3,4,1,5,2,Artificial Intelligence
S0206,69.3,59.9,60.6,53.1,54.9,61.5,27.4,4,4,2,2,5,5,Cyber Security
S0207,57.4,59.3,58.2,69.6,60.2,43.0,88.2,1,1,3,2,3,3,Data Science
S0208,51.7,56.8,71.6,66.4,77.8,50.0,44.5,4,4,3,3,5,1,Cloud Computing
S0209,56.8,100.0,74.2,80.4,82.4,59.1,80.5,1,2,1,3,2,4,Artificial Intelligence
S0210,65.0,74.5,58.5,49.0,53.1,45.0,47.6,1,2,3,1,5,3,Cloud Computing
S0211,83.7,83.3,76.9,60.8,60.7,70.7,47.5,4,3,3,3,3,2,Machine Learning
S0212,50.1,62.7,79.7,58.8,66.0,76.1,84.3,1,3,2,5,3,4,Web Development
S0213,70.5,67.2,84.4,74.1,71.1,56.8,79.9,4,5,1,1,1,4,Cyber Security
S0214,62.7,59.3,91.7,39.5,57.3,58.4,64.2,1,2,3,2,1,2,Data Science
S0215,65.1,30.2,52.0,80.3,57.6,73.1,75.2,1,2,3,3,1,1,Web Development
S0216,85.0,49.3,65.2,69.3,87.6,54.3,54.2,5,2,1,4,3,3,Machine Learning
S0217,78.1,42.8,65.2,33.7,84.2,53.3,59.8,1,5,4,1,1,1,Web Development
S0218,90.1,36.3,63.5,84.2,69.5,82.9,46.8,5,5,1,2,1,4,Web Development
S0219,67.7,52.1,55.3,100.0,94.4,78.3,78.1,2,3,1,2,4,3,Artificial Intelligence
S0220,59.6,89.9,42.7,80.0,52.3,74.0,46.1,4,4,3,4,5,2,Web Development
S0221,66.6,69.3,66.4,88.5,92.5,78.9,89.7,5,5,2,1,1,3,Artificial Intelligence
S0222,73.6,89.4,53.5,61.7,70.9,35.3,53.7,1,5,5,4,3,2,Machine Learning
S0223,72.6,76.2,66.3,26.8,100.0,85.3,60.4,2,4,1,3,5,2,Machine Learning
S0224,53.7,81.7,53.1,23.1,36.2,70.9,75.2,3,3,2,2,3,2,Data Science
S0225,71.4,56.5,48.5,65.1,46.2,80.2,60.5,5,5,4,5,1,4,Web Development
S0226,73.4,77.9,68.5,48.2,68.4,70.8,54.0,1,2,2,5,1,5,Cyber Security
S0227,100.0,80.9,67.3,41.7,67.9,65.7,59.4,1,2,5,5,5,4,Cloud Computing
S0228,98.2,61.4,73.7,58.7,99.0,60.9,77.9,2,4,4,5,3,2,Machine Learning
S0229,57.2,78.4,97.8,72.3,46.6,70.5,46.7,2,1,5,2,1,5,Cyber Security
S0230,65.7,78.5,69.2,30.9,78.1,60.3,57.5,2,3,5,5,5,1,Machine Learning
S0231,48.0,61.8,72.3,51.0,83.2,78.0,60.2,1,5,1,1,5,2,Cloud Computing
S0232,61.1,53.2,48.8,90.2,74.1,41.2,77.3,5,1,3,2,4,1,Artificial Intelligence
S0233,74.7,52.2,45.7,38.5,40.8,56.9,58.0,4,5,4,3,1,5,Web Development
S0234,88.1,71.3,88.7,77.4,88.2,95.7,96.2,1,3,1,4,1,1,Web Development
S0235,59.1,74.9,51.1,50.3,84.6,55.6,56.9,3,5,3,3,2,3,Machine Learning
S0236,60.2,58.1,49.3,70.9,72.0,61.4,55.2,4,4,4,3,1,1,Artificial Intelligence
S0237,37.8,70.4,64.4,81.9,64.1,51.8,56.6,4,1,4,2,3,2,Artificial Intelligence
S0238,67.6,78.6,63.6,74.8,64.5,70.0,33.7,5,4,3,3,2,4,Artificial Intelligence
S0239,54.1,79.3,51.5,78.2,58.4,54.0,39.3,4,1,5,3,4,5,Artificial Intelligence
S0240,62.1,93.3,60.4,37.0,72.8,62.2,49.4,4,2,4,3,1,1,Machine Learning
S0241,56.8,89.2,83.4,82.3,60.6,77.7,82.7,1,5,1,3,4,1,Web Development
S0242,68.6,55.0,52.9,42.9,43.0,54.5,59.3,1,5,2,4,5,2,Web Development
S0243,43.6,95.3,44.1,65.2,39.0,76.8,50.3,4,1,5,2,1,5,Data Science
S0244,48.0,62.0,79.1,65.2,45.0,77.3,84.5,5,2,1,1,4,1,Cloud Computing
S0245,100.0,85.7,72.4,69.7,64.4,80.8,91.0,2,1,1,2,3,1,Cloud Computing
S0246,50.7,71.0,55.7,66.7,59.5,67.1,85.1,4,2,2,3,1,3,Data Science
S0247,53.5,63.8,41.3,43.1,64.3,100.0,42.9,2,5,5,1,2,2,Web Development
S0248,97.6,42.9,53.8,33.0,70.0,80.8,50.1,3,1,4,1,4,1,Cloud Computing
S0249,100.0,67.4,64.2,77.4,47.5,69.9,96.3,4,4,1,5,5,3,Cloud Computing
S0250,52.4,46.6,82.5,63.7,89.3,51.9,64.8,4,5,2,2,2,4,Artificial Intelligence
S0251,64.5,84.5,49.5,83.0,54.6,63.5,54.6,1,5,5,4,1,1,Web Development
S0252,75.1,92.8,63.7,59.1,51.3,86.4,74.4,5,2,2,1,2,4,Cyber Security
S0253,95.9,58.0,75.1,31.9,69.6,90.6,80.1,5,4,3,5,5,1,Web Development
S0254,55.2,74.5,29.3,79.3,23.3,87.2,48.6,3,3,3,2,3,4,Web Development
S0255,66.3,59.1,80.5,52.6,44.2,76.8,64.4,2,1,4,2,3,2,Data Science
S0256,81.7,60.6,47.3,66.8,79.6,46.2,78.5,3,2,4,4,1,2,Machine Learning
S0257,76.5,81.6,70.0,47.1,25.3,72.3,36.8,5,4,5,2,4,1,Cloud Computing
S0258,64.4,69.4,68.7,92.9,82.4,46.4,60.2,3,4,1,3,3,5,Artificial Intelligence
S0259,68.0,96.1,81.3,42.5,90.2,42.7,37.7,1,3,3,4,3,3,Machine Learning
S0260,49.4,62.8,73.3,53.3,52.6,68.6,40.3,1,4,4,1,5,4,Cloud Computing
S0261,66.4,85.0,29.3,62.1,65.8,72.8,48.7,5,4,3,1,3,2,Artificial Intelligence
S0262,66.0,71.5,53.2,38.2,82.4,78.6,69.5,4,2,4,4,5,1,Machine Learning
S0263,73.5,81.9,67.1,66.6,50.7,72.5,53.6,4,2,4,2,3,1,Data Science
S0264,61.7,63.3,62.1,92.2,77.4,73.0,47.0,1,5,2,5,2,3,Web Development
S0265,77.1,69.3,72.2,50.2,46.6,50.2,61.0,1,5,1,5,5,2,Cloud Computing
S0266,85.2,68.3,76.8,67.9,50.4,63.4,37.1,2,1,5,5,4,4,Cloud Computing
S0267,72.3,57.5,74.1,5.0,44.0,42.4,68.6,2,4,5,5,4,4,Cyber Security
S0268,75.3,79.9,61.8,59.2,66.9,34.9,82.6,2,1,5,5,2,2,Data Science
S0269,70.8,79.8,37.3,53.7,83.2,76.1,58.4,3,5,2,2,4,3,Web Development
S0270,70.0,78.9,58.2,43.6,56.3,53.7,55.9,2,3,2,5,3,2,Machine Learning
S0271,59.2,93.1,71.2,81.6,34.6,78.1,67.5,1,4,2,2,1,4,Web Development
S0272,74.7,91.7,48.6,53.5,38.3,81.6,19.4,3,4,1,3,2,4,Web Development
